Embedding Wikipedia articles for search|CompletionsEmbeddings|Nov 26, 2024
GPT Actions library - Tray.ai APIM|ChatGPT|Nov 26, 2024
GPT Actions library - Google Calendar|ChatGPT|Nov 22, 2024
GPT Actions library - Workday|ChatGPT|Nov 20, 2024
Optimizing Retrieval-Augmented Generation using GPT-4o Vision Modality|CompletionsVision|Nov 12, 2024
Pinecone Vector Database and Retool Workflow with GPT Actions|ChatGPTEmbeddings|Nov 11, 2024
Vision Fine-tuning on GPT-4o for Visual Question Answering|CompletionsFine-tuningVision|Nov 1, 2024
Steering Text-to-Speech for more dynamic audio generation|AudioCompletions|Nov 1, 2024
Enhance your prompts with meta prompting|CompletionsReasoning|Oct 23, 2024
GPT Actions library - GitHub|ChatGPT|Oct 23, 2024
Voice Translation into Different Languages|AudioCompletions|Oct 21, 2024
Leveraging model distillation to fine-tune a model|CompletionsFine-tuning|Oct 16, 2024
Custom LLM as a Judge to Detect Hallucinations with Braintrust|CompletionsEvals|Oct 14, 2024
Orchestrating Agents: Routines and Handoffs|CompletionsFunctions|Oct 10, 2024
GPT Actions library - Google Ads via Adzviser|ChatGPT|Oct 10, 2024
Prompt Caching 101|CompletionsLatency|Oct 1, 2024
Using chained calls for o1 structured outputs|CompletionsReasoning|Sep 26, 2024
Building a Bring Your Own Browser (BYOB) Tool for Web Browsing and Summarization|Completions|Sep 26, 2024
GPT Actions library - Canvas Learning Management System|ChatGPT|Sep 17, 2024
Using reasoning for data validation|CompletionsReasoning|Sep 12, 2024
Using reasoning for routine generation|CompletionsReasoning|Sep 12, 2024
GPT Actions library - Retool Workflow|ChatGPT|Aug 28, 2024
GPT Actions library - Snowflake Middleware|ChatGPT|Aug 14, 2024
GPT Actions library - Snowflake Direct|ChatGPT|Aug 13, 2024
GPT Actions library (Middleware) - Google Cloud Function|ChatGPT|Aug 11, 2024
GPT Actions library - Google Drive|ChatGPT|Aug 11, 2024
GPT Actions library - AWS Redshift|ChatGPT|Aug 9, 2024
GPT Actions library - AWS Middleware|ChatGPT|Aug 9, 2024
Structured Outputs for Multi-Agent Systems|CompletionsFunctions|Aug 6, 2024
Introduction to Structured Outputs|CompletionsFunctions|Aug 6, 2024
GPT Actions library - Zapier|ChatGPT|Aug 5, 2024
GPT Actions library - Box|ChatGPT|Aug 2, 2024
GCP BigQuery Vector Search with GCP Functions and GPT Actions in ChatGPT|ChatGPTCompletionsEmbeddingsTiktoken|Aug 2, 2024
GPT Actions library - Confluence|ChatGPT|Jul 31, 2024
GPT Actions library - SQL Database|ChatGPT|Jul 31, 2024
GPT Actions library - Notion|ChatGPT|Jul 25, 2024
GPT Actions library - Gmail|ChatGPT|Jul 24, 2024
GPT Actions library - Jira|ChatGPT|Jul 24, 2024
How to fine-tune chat models|CompletionsFine-tuning|Jul 23, 2024
How to combine GPT4o mini with RAG to create a clothing matchmaker app|EmbeddingsVision|Jul 18, 2024
Using GPT4o mini to tag and caption images|EmbeddingsVision|Jul 18, 2024
Introduction to GPT-4o and GPT-4o mini|CompletionsVisionWhisper|Jul 18, 2024
GPT Actions library - Salesforce|ChatGPT|Jul 18, 2024
GPT Actions library - Outlook|ChatGPT|Jul 15, 2024
GPT Actions library - getting started|ChatGPT|Jul 9, 2024
GPT Actions library - BigQuery|ChatGPT|Jul 9, 2024
Data Extraction and Transformation in ELT Workflows using GPT-4o as an OCR Alternative|CompletionsVision|Jul 9, 2024
Azure AI Search with Azure Functions and GPT Actions in ChatGPT|ChatGPTCompletionsEmbeddingsTiktoken|Jul 8, 2024
Developing Hallucination Guardrails|Guardrails|May 29, 2024
GPT Actions library - Sharepoint (Return Docs)|ChatGPT|May 24, 2024
GPT Actions library - Sharepoint (Return Text)|ChatGPT|May 24, 2024
GPT Actions library (Middleware) - Azure Functions|ChatGPT|May 24, 2024
Using tool required for customer service|CompletionsFunctions|May 1, 2024
Batch processing with the Batch API|BatchCompletions|Apr 24, 2024
Summarizing Long Documents|Chat|Apr 19, 2024
Synthetic data generation (Part 1)|Completions|Apr 10, 2024
CLIP embeddings to improve multimodal RAG with GPT-4 Vision|EmbeddingsVision|Apr 10, 2024
Using GPT4 Vision with Function Calling|ChatVision|Apr 9, 2024
Getting Started with OpenAI Evals|Completions|Mar 21, 2024
How to use the moderation API|Moderation|Mar 5, 2024
How to parse PDF docs for RAG|EmbeddingsVision|Feb 28, 2024
Using logprobs|Completions|Dec 20, 2023
How to implement LLM guardrails|Guardrails|Dec 19, 2023
